Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
B001291,Brian Babin,M,Republican,1948,2,TX-36,0.340713292,1.036866903
B001292,Don Beyer,M,Democrat,1950,2,VA-08,-0.156103909,-0.670960963
B001293,Mike Bishop (politician),M,Republican,1967,2,MI-08,0.36754632,1.129106522
B001294,Rod Blum,M,Republican,1955,2,IA-01,0.422657013,1.31855154
B001295,Mike Bost,M,Republican,1960,2,IL-12,0.408937961,1.271391869
B001296,Brendan Boyle,M,Democrat,1977,2,PA-13,-0.313215733,-1.211038828
B001297,Ken Buck,M,Republican,1959,2,CO-04,0.182671621,0.493592799
B001298,Don Bacon,M,Republican,1963,1,NE-02,0.160502881,0.417386889
B001299,Jim Banks,M,Republican,1979,1,IN-03,0.388073653,1.199669957
B001300,Nanette Barragán,F,Democrat,1976,1,CA-44,-0.311371624,-1.204699636
B001301,Jack Bergman,M,Republican,1947,1,MI-01,0.423910409,1.322860241
B001302,Andy Biggs,M,Republican,1958,1,AZ-05,0.276342601,0.815590262
B001303,Lisa Blunt Rochester,F,Democrat,1962,1,DE-AL,-0.194954827,-0.804512382
B001304,Anthony Brown (Maryland),M,Democrat,1961,1,MD-04,-0.302635491,-1.174668789
B001305,Ted Budd,M,Republican,1971,1,NC-13,0.274385422,0.808862388
C000059,Ken Calvert,M,Republican,1953,13,CA-42,0.14001289,0.346951753
C000266,Steve Chabot,M,Republican,1953,11,OH-01,0.312622607,0.94030416
C000537,James E. Clyburn,M,Democrat,1940,13,SC-06,-0.259153038,-1.025196195
C000714,"John Conyers, Jr.",M,Democrat,1929,27,MI-13,-0.260079473,-1.028380871
C000754,Jim Cooper,M,Democrat,1954,14,TN-05,-0.019844815,-0.202565148
C000984,Elijah Cummings,M,Democrat,1951,13,MD-07,-0.213187784,-0.867188931
C001037,Michael Capuano,M,Democrat,1952,10,MA-07,-0.292397827,-1.139476418
C001038,Joseph Crowley,M,Democrat,1962,10,NY-14,-0.331201673,-1.27286613
C001048,John Culberson,M,Republican,1956,9,TX-07,0.248648793,0.72039175
C001049,William Lacy Clay,M,Democrat,1956,9,MO-01,-0.178040147,-0.746367574
C001051,John Carter,M,Republican,1941,8,TX-31,0.22342737,0.633692205
C001053,Tom Cole,M,Republican,1949,8,OK-04,0.041568071,0.00854397
C001059,Jim Costa,M,Democrat,1952,7,CA-16,-0.03067675,-0.239800334
C001061,Emanuel Cleaver,M,Democrat,1944,7,MO-05,-0.247199908,-0.984106839
C001062,Mike Conaway,M,Republican,1948,7,TX-11,0.170733094,0.4525536
C001063,Henry Cuellar,M,Democrat,1955,7,TX-28,0.138257876,0.340918839
C001066,Kathy Castor,F,Democrat,1966,6,FL-14,-0.281273305,-1.101235509
C001067,Yvette D. Clarke,F,Democrat,1964,6,NY-09,-0.467224211,-1.740448594
C001068,Steve Cohen,M,Democrat,1949,6,TN-09,-0.261284709,-1.03252387
C001069,Joe Courtney,M,Democrat,1953,6,CT-02,-0.072166689,-0.38242355
C001072,Andre Carson,M,Democrat,1974,6,IN-07,-0.178673387,-0.748544395
C001076,Jason Chaffetz,M,Republican,1967,5,UT-03,0.361007005,1.106627345
C001077,Mike Coffman,M,Republican,1955,5,CO-06,0.231833428,0.662588298
C001078,Gerald Connolly,M,Democrat,1950,5,VA-11,-0.084459051,-0.424679011
C001080,Judy Chu,F,Democrat,1953,5,CA-27,-0.311781704,-1.206109285
C001084,David N. Cicilline,M,Democrat,1961,4,RI-01,-0.417816103,-1.57060647
C001087,Rick Crawford,M,Republican,1966,4,AR-01,0.397874713,1.233361483
C001090,Matt Cartwright,M,Democrat,1961,3,PA-17,-0.172908098,-0.72872597
C001091,Joaquin Castro,M,Democrat,1974,3,TX-20,-0.194220051,-0.801986575
C001092,Chris Collins,M,Republican,1950,4,NY-27,0.250308365,0.72609657
C001093,Doug Collins,M,Republican,1966,3,GA-09,0.243471906,0.702596068
C001094,Paul Cook,M,Republican,1943,3,CA-08,0.456196487,1.433844805
C001096,Kevin Cramer,M,Republican,1961,3,ND-AL,0.270498961,0.795502543
